ID,CNTYFIPS,Ori,State,Agency,Agentype,Solved,Year,Month,Homicide,Situation,VicAge,VicSex,VicRace,VicEthnic,OffAge,OffSex,OffRace,OffEthnic,Weapon,Relationship,Circumstance,Subcircum,VicCount,OffCount,MSA
201907001MO09500,"St. Louis, MO",MO09500,Missouri,St. Louis County Police Department,County police,Yes,2019,July,Murder and non-negligent manslaughter,Multiple victims/multiple offenders,37.0,Male,Black,Not of Hispanic origin,30.0,Male,Black,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Acquaintance,Narcotic drug laws,,4,1,"St. Louis, MO-IL"
201708165FL02902,"Hillsborough, FL",FL02902,Florida,Tampa,Municipal police,Yes,2017,August,Murder and non-negligent manslaughter,Single victim/multiple offenders,33.0,Male,Black,Unknown or not reported,0.0,Male,Black,Unknown or not reported,"Firearm, type not stated",Relationship not determined,Other - not specified,,0,2,"Tampa-St. Petersburg-Clearwater, FL"
201101001WA01702,"King, WA",WA01702,Washington,Bellevue,Municipal police,Yes,2011,January,Murder and non-negligent manslaughter,Single victim/multiple offenders,26.0,Male,White,Unknown or not reported,27.0,Male,White,Unknown or not reported,"Handgun - pistol, revolver, etc",Stranger,Felon killed by police,Felon attacked police officer,0,1,"Seattle-Tacoma-Bellevue, WA"
201708010TXSPD00,"Bexar, TX",TXSPD00,Texas,San Antonio,Municipal police,Yes,2017,August,Murder and non-negligent manslaughter,Single victim/single offender,55.0,Male,White,Hispanic origin,29.0,Male,Black,Not of Hispanic origin,"Personal weapons, includes beating",Acquaintance,Other arguments,,0,0,"San Antonio, TX"
201210001LA02600,"Jefferson, LA",LA02600,Louisiana,Jefferson County,Sheriff,Yes,2012,October,Murder and non-negligent manslaughter,Single victim/multiple offenders,15.0,Male,Black,Unknown or not reported,15.0,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Acquaintance,Circumstances undetermined,,0,1,"New Orleans-Metairie-Kenner, LA"
201704006TX22012,"Tarrant, TX",TX22012,Texas,Fort Worth,Municipal police,Yes,2017,April,Murder and non-negligent manslaughter,Single victim/multiple offenders,52.0,Male,White,Hispanic origin,34.0,Male,White,Hispanic origin,Rifle,Relationship not determined,Felon killed by police,Felon attacked police officer,0,1,"Dallas-Fort Worth-Arlington, TX"
201106001VA03600,"Gloucester, VA",VA03600,Virginia,Gloucester County,Sheriff,Yes,2011,June,Murder and non-negligent manslaughter,Single victim/single offender,28.0,Male,White,Unknown or not reported,38.0,Male,White,Unknown or not reported,Shotgun,Stranger,Other arguments,,0,0,"Virginia Beach-Norfolk-Newport News, VA-NC"
201104004MI25398,"Genesee, MI",MI25398,Michigan,Flint,Municipal police,Yes,2011,April,Murder and non-negligent manslaughter,Multiple victims/single offender,20.0,Male,Black,Unknown or not reported,20.0,Male,Black,Unknown or not reported,"Firearm, type not stated",Acquaintance,Other,,1,0,"Flint, MI"
201104001MS04200,"Leflore, MS",MS04200,Mississippi,Leflore County,Sheriff,No,2011,April,Murder and non-negligent manslaughter,Single victim/unknown offender(s),24.0,Male,Black,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Other - not specified,,0,0,Rural Mississippi
201504001CO03400,"La Plata, CO",CO03400,Colorado,La Plata County,Sheriff,Yes,2015,April,Murder and non-negligent manslaughter,Single victim/single offender,27.0,Male,White,Unknown or not reported,33.0,Male,White,Unknown or not reported,"Handgun - pistol, revolver, etc",Acquaintance,Other arguments,,0,0,Rural Colorado
201811102OK05506,"Oklahoma, OK",OK05506,Oklahoma,Oklahoma City,Municipal police,Yes,2018,November,Murder and non-negligent manslaughter,Single victim/multiple offenders,37.0,Male,Black,Not of Hispanic origin,25.0,Male,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Stranger,Felon killed by police,Felon attacked police officer,0,2,"Oklahoma City, OK"
201508001OH07725,"Summit, OH",OH07725,Ohio,Springfield Township,Municipal police,Yes,2015,August,Murder and non-negligent manslaughter,Single victim/single offender,44.0,Female,White,Unknown or not reported,44.0,Male,White,Unknown or not reported,Other or type unknown,Wife,Circumstances undetermined,,0,0,"Akron, OH"
201711008MOSPD00,"St. Louis city, MO",MOSPD00,Missouri,St. Louis,Municipal police,No,2017,November,Murder and non-negligent manslaughter,Single victim/unknown offender(s),21.0,Male,Black,Not of Hispanic origin,,Unknown,Unknown,Unknown or not reported,"Firearm, type not stated",Relationship not determined,Circumstances undetermined,,0,0,"St. Louis, MO-IL"
201401002LA00901,"Caddo, LA",LA00901,Louisiana,Shreveport,Municipal police,Yes,2014,January,Murder and non-negligent manslaughter,Single victim/single offender,25.0,Male,Black,Not of Hispanic origin,20.0,Male,Black,Not of Hispanic origin,Rifle,Acquaintance,Felon killed by private citizen,Felon attacked a civilian,0,0,"Shreveport-Bossier City, LA"
201508007LANPD00,"Orleans, LA",LANPD00,Louisiana,New Orleans,Municipal police,Yes,2015,August,Murder and non-negligent manslaughter,Single victim/single offender,39.0,Male,Black,Unknown or not reported,28.0,Male,Black,Unknown or not reported,"Firearm, type not stated",Relationship not determined,Circumstances undetermined,,0,0,"New Orleans-Metairie-Kenner, LA"
201711001GA10601,"Muscogee, GA",GA10601,Georgia,Columbus,Municipal police,No,2017,November,Murder and non-negligent manslaughter,Single victim/unknown offender(s),19.0,Male,Black,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Other,,0,0,"Columbus, GA-AL"
201111001AR06000,"Pulaski, AR",AR06000,Arkansas,Pulaski County,Sheriff,Yes,2011,November,Murder and non-negligent manslaughter,Single victim/multiple offenders,22.0,Male,Black,Unknown or not reported,37.0,Male,Black,Unknown or not reported,"Firearm, type not stated",Relationship not determined,Circumstances undetermined,,0,1,"Little Rock-North Little Rock, AR"
201909001SC03200,"Lexington, SC",SC03200,South Carolina,Lexington County,Sheriff,Yes,2019,September,Murder and non-negligent manslaughter,Single victim/single offender,45.0,Female,White,Hispanic origin,50.0,Male,White,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Common-law wife,Other arguments,,0,0,"Columbia, SC"
201312001LA00801,"Bossier, LA",LA00801,Louisiana,Bossier City,Municipal police,Yes,2013,December,Murder and non-negligent manslaughter,Single victim/single offender,56.0,Male,White,Unknown or not reported,32.0,Male,White,Unknown or not reported,"Personal weapons, includes beating",Neighbor,Other arguments,,0,0,"Shreveport-Bossier City, LA"
201612108OK05506,"Oklahoma, OK",OK05506,Oklahoma,Oklahoma City,Municipal police,Yes,2016,December,Murder and non-negligent manslaughter,Single victim/single offender,20.0,Male,Black,Not of Hispanic origin,18.0,Male,Asian,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Acquaintance,Robbery,,0,0,"Oklahoma City, OK"
201508533FL01306,"Miami-Dade, FL",FL01306,Florida,Miami,Municipal police,No,2015,August,Murder and non-negligent manslaughter,Single victim/unknown offender(s),36.0,Male,Black,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,"Firearm, type not stated",Relationship not determined,Other - not specified,,0,0,"Miami-Fort Lauderdale, FL"
201610003TX22012,"Tarrant, TX",TX22012,Texas,Fort Worth,Municipal police,Yes,2016,October,Murder and non-negligent manslaughter,Single victim/single offender,21.0,Male,White,Unknown or not reported,28.0,Male,White,Unknown or not reported,Other or type unknown,Relationship not determined,Other,,0,0,"Dallas-Fort Worth-Arlington, TX"
201906003SC01008,"Charleston, SC",SC01008,South Carolina,North Charleston,Municipal police,Yes,2019,June,Murder and non-negligent manslaughter,Single victim/single offender,21.0,Male,Black,Not of Hispanic origin,21.0,Male,Black,Unknown or not reported,"Firearm, type not stated",Relationship not determined,Other arguments,,0,0,"Charleston-North Charleston, SC"
201807006AZ01003,"Pima, AZ",AZ01003,Arizona,Tucson,Municipal police,Yes,2018,July,Murder and non-negligent manslaughter,Single victim/single offender,22.0,Male,American Indian or Alaskan Native,Not of Hispanic origin,47.0,Male,White,Not of Hispanic origin,Knife or cutting instrument,Stranger,Circumstances undetermined,,0,0,"Tucson, AZ"
201001022PAPEP00,"Philadelphia, PA",PAPEP00,Pennsylvania,Philadelphia,Municipal police,Yes,2010,January,Murder and non-negligent manslaughter,Single victim/single offender,18.0,Male,Black,Not of Hispanic origin,,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Narcotic drug laws,,0,0,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
201611001VTVSP09,"Orange, VT",VTVSP09,Vermont,State Police: Shaftsbury,Primary state LE,Yes,2016,November,Murder and non-negligent manslaughter,Multiple victims/single offender,38.0,Male,White,Unknown or not reported,38.0,Male,White,Unknown or not reported,Rifle,Other - known to victim,Other,,1,0,Rural Vermont
201903001LA02802,"Lafayette, LA",LA02802,Louisiana,Carencro Police Department,Municipal police,Yes,2019,March,Murder and non-negligent manslaughter,Multiple victims/single offender,21.0,Male,White,Not of Hispanic origin,20.0,Male,Black,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Acquaintance,Other,,1,0,"Lafayette, LA"
201210001TX22012,"Tarrant, TX",TX22012,Texas,Fort Worth,Municipal police,Yes,2012,October,Murder and non-negligent manslaughter,Single victim/single offender,28.0,Male,Black,Unknown or not reported,26.0,Female,White,Unknown or not reported,"Handgun - pistol, revolver, etc",Boyfriend,Other,,0,0,"Dallas-Fort Worth-Arlington, TX"
201111002NC04100,"Guilford, NC",NC04100,North Carolina,Guilford County,Sheriff,Yes,2011,November,Murder and non-negligent manslaughter,Multiple victims/single offender,8.0,Female,White,Unknown or not reported,36.0,Female,White,Unknown or not reported,Other gun,Son,Other,,2,0,"Greensboro-High Point, NC"
201201468FL04400,"Monroe, FL",FL04400,Florida,Monroe County,Sheriff,No,2012,January,Murder and non-negligent manslaughter,Single victim/unknown offender(s),65.0,Male,White,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,Other or type unknown,Relationship not determined,Other - not specified,,0,0,Rural Florida
201412001CT00064,"Hartford, CT",CT00064,Connecticut,Hartford,Municipal police,Yes,2014,December,Murder and non-negligent manslaughter,Single victim/single offender,34.0,Male,Black,Not of Hispanic origin,27.0,Male,Black,Not of Hispanic origin,Knife or cutting instrument,Acquaintance,Circumstances undetermined,,0,0,"Hartford, CT"
201212005CTCSP00,"New Haven, CT",CTCSP00,Connecticut,Connecticut State Police,Primary state LE,Yes,2012,December,Murder and non-negligent manslaughter,Multiple victims/single offender,47.0,Female,White,Unknown or not reported,20.0,Male,White,Unknown or not reported,"Firearm, type not stated",Stranger,Other - not specified,,5,0,"New Haven-Milford, CT"
201712001CO06202,"Weld, CO",CO06202,Colorado,Greeley,Municipal police,Yes,2017,December,Murder and non-negligent manslaughter,Single victim/multiple offenders,26.0,Male,White,Not of Hispanic origin,44.0,Male,White,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Stranger,Felon killed by police,Felon attacked police officer,0,3,"Greeley, CO"
201510001LA00801,"Bossier, LA",LA00801,Louisiana,Bossier City,Municipal police,Yes,2015,October,Murder and non-negligent manslaughter,Single victim/single offender,0.0,Female,Black,Unknown or not reported,27.0,Male,Black,Unknown or not reported,Other or type unknown,Daughter,Other arguments,,0,0,"Shreveport-Bossier City, LA"
201805001NC06204,"Montgomery, NC",NC06204,North Carolina,Mount Gilead,Municipal police,Yes,2018,May,Murder and non-negligent manslaughter,Single victim/multiple offenders,20.0,Male,Black,Unknown or not reported,19.0,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Other arguments,,0,3,Rural North Carolina
201612001OH03201,"Hancock, OH",OH03201,Ohio,Findlay,Municipal police,Yes,2016,December,Murder and non-negligent manslaughter,Single victim/multiple offenders,35.0,Female,White,Unknown or not reported,46.0,Male,Black,Unknown or not reported,"Narcotics or drugs, sleeping pills",Other - known to victim,Larceny,,0,2,Rural Ohio
201707001LA02402,"Iberville, LA",LA02402,Louisiana,Plaquemine,Municipal police,Yes,2017,July,Murder and non-negligent manslaughter,Single victim/single offender,57.0,Male,Black,Not of Hispanic origin,45.0,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Acquaintance,Other arguments,,0,0,"Baton Rouge, LA"
201207001NJ01111,"Mercer, NJ",NJ01111,New Jersey,Trenton,Municipal police,Yes,2012,July,Murder and non-negligent manslaughter,Single victim/single offender,23.0,Male,Black,Unknown or not reported,20.0,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Acquaintance,Other arguments,,0,0,"Trenton-Ewing, NJ"
201711001CA03611,"San Bernardino, CA",CA03611,California,Upland,Municipal police,Yes,2017,November,Murder and non-negligent manslaughter,Single victim/single offender,60.0,Female,White,Not of Hispanic origin,58.0,Male,White,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Acquaintance,Circumstances undetermined,,0,0,"Riverside-San Bernardino, CA"
201110015MI82349,"Wayne, MI",MI82349,Michigan,Detroit,Municipal police,No,2011,October,Murder and non-negligent manslaughter,Multiple victims/unknown offender(s),19.0,Female,White,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,"Firearm, type not stated",Relationship not determined,Circumstances undetermined,,1,0,"Detroit-Warren-Livonia, MI"
201102001ILCPD00,"Cook, IL",ILCPD00,Illinois,Chicago,Municipal police,Yes,2011,February,Murder and non-negligent manslaughter,Multiple victims/single offender,29.0,Female,White,Unknown or not reported,40.0,Male,White,Unknown or not reported,"Handgun - pistol, revolver, etc",Girlfriend,Other arguments,,1,0,"Chicago-Naperville-Joliet, IL-IN-WI"
201111004CA03610,"San Bernardino, CA",CA03610,California,San Bernardino,Municipal police,Yes,2011,November,Murder and non-negligent manslaughter,Single victim/single offender,34.0,Male,White,Hispanic origin,23.0,Male,White,Hispanic origin,"Handgun - pistol, revolver, etc",Other - known to victim,Felon killed by private citizen,Felon killed in commission of a crime,0,0,"Riverside-San Bernardino, CA"
201005002TN09000,"Washington, TN",TN09000,Tennessee,Washington County,Sheriff,Yes,2010,May,Murder and non-negligent manslaughter,Single victim/single offender,57.0,Male,White,Unknown or not reported,35.0,Male,White,Unknown or not reported,Rifle,Acquaintance,Circumstances undetermined,,0,0,"Johnson City, TN"
201110044ILCPD00,"Cook, IL",ILCPD00,Illinois,Chicago,Municipal police,Yes,2011,October,Murder and non-negligent manslaughter,Single victim/single offender,80.0,Male,Black,Unknown or not reported,69.0,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Acquaintance,Other arguments,,0,0,"Chicago-Naperville-Joliet, IL-IN-WI"
201307001VA11100,"Hampton, VA",VA11100,Virginia,Hampton,Municipal police,Yes,2013,July,Murder and non-negligent manslaughter,Single victim/single offender,20.0,Female,Black,Unknown or not reported,26.0,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Girlfriend,Circumstances undetermined,,0,0,"Virginia Beach-Norfolk-Newport News, VA-NC"
201210463AL05402,"Pickens, AL",AL05402,Alabama,Gordo,Municipal police,Yes,2012,October,Murder and non-negligent manslaughter,Single victim/single offender,62.0,Female,White,Unknown or not reported,60.0,Male,White,Unknown or not reported,"Handgun - pistol, revolver, etc",Wife,Other - not specified,,0,0,Rural Alabama
201602020TXHPD00,"Harris, TX",TXHPD00,Texas,Houston,Municipal police,No,2016,February,Murder and non-negligent manslaughter,Single victim/unknown offender(s),22.0,Male,Black,Not of Hispanic origin,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Circumstances undetermined,,0,0,"Houston-Sugar Land-Baytown, TX"
201702010NY03030,"New York, NY",NY03030,New York,New York,Municipal police,Yes,2017,February,Murder and non-negligent manslaughter,Single victim/single offender,51.0,Male,Black,Not of Hispanic origin,42.0,Male,Black,Not of Hispanic origin,Knife or cutting instrument,Homosexual relationship,Other arguments,,0,0,"New York-New Jersey-Long Island, NY-NJ"
201704003FL00100,"Alachua, FL",FL00100,Florida,Alachua County,Sheriff,No,2017,April,Murder and non-negligent manslaughter,Single victim/unknown offender(s),23.0,Female,White,Unknown or not reported,21.0,Male,Black,Unknown or not reported,Rifle,Relationship not determined,Other - not specified,,0,0,"Gainesville, FL"
201810001CA02704,"Monterey, CA",CA02704,California,Greenfield,Municipal police,Yes,2018,October,Murder and non-negligent manslaughter,Single victim/single offender,20.0,Male,White,Hispanic origin,19.0,Male,White,Hispanic origin,Knife or cutting instrument,Brother,Circumstances undetermined,,0,0,"Salinas, CA"
201210001NC00101,"Alamance, NC",NC00101,North Carolina,Burlington,Municipal police,Yes,2012,October,Murder and non-negligent manslaughter,Single victim/multiple offenders,22.0,Male,Black,Unknown or not reported,22.0,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Stranger,Circumstances undetermined,,0,1,"Burlington, NC"
201409967AL03400,"Geneva, AL",AL03400,Alabama,Geneva County,Sheriff,Yes,2014,September,Murder and non-negligent manslaughter,Single victim/single offender,49.0,Female,White,Unknown or not reported,44.0,Male,White,Unknown or not reported,Other or type unknown,Acquaintance,Other arguments,,0,0,"Dothan, AL"
201002002CA01942,"Los Angeles, CA",CA01942,California,Los Angeles,Municipal police,No,2010,February,Murder and non-negligent manslaughter,Single victim/unknown offender(s),33.0,Male,Black,Not of Hispanic origin,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Juvenile gang killings,,0,0,"Los Angeles-Long Beach, CA"
201709001SC03200,"Lexington, SC",SC03200,South Carolina,Lexington County,Sheriff,Yes,2017,September,Murder and non-negligent manslaughter,Single victim/single offender,36.0,Male,Black,Not of Hispanic origin,19.0,Male,White,Hispanic origin,Shotgun,Acquaintance,Circumstances undetermined,,0,0,"Columbia, SC"
201203001MS07601,"Washington, MS",MS07601,Mississippi,Greenville,Municipal police,No,2012,March,Murder and non-negligent manslaughter,Single victim/unknown offender(s),36.0,Male,Black,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Circumstances undetermined,,0,0,Rural Mississippi
201606001AR01801,"Crittenden, AR",AR01801,Arkansas,West Memphis,Municipal police,Yes,2016,June,Murder and non-negligent manslaughter,Single victim/single offender,16.0,Male,Black,Unknown or not reported,20.0,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Acquaintance,Circumstances undetermined,,0,0,"Memphis, TN-MS-AR"
201511001CO00101,"Arapahoe, CO",CO00101,Colorado,Aurora,Municipal police,No,2015,November,Murder and non-negligent manslaughter,Single victim/unknown offender(s),24.0,Male,Black,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,"Firearm, type not stated",Relationship not determined,Circumstances undetermined,,0,0,"Denver-Aurora, CO"
201003001CA01947,"Los Angeles, CA",CA01947,California,Montebello,Municipal police,No,2010,March,Murder and non-negligent manslaughter,Single victim/unknown offender(s),19.0,Male,White,Hispanic origin,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Juvenile gang killings,,0,0,"Los Angeles-Long Beach, CA"
201306001NY04353,"Rockland, NY",NY04353,New York,Ramapo Town,Municipal police,Yes,2013,June,Murder and non-negligent manslaughter,Single victim/single offender,22.0,Male,Black,Not of Hispanic origin,20.0,Male,Black,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Stranger,Other arguments,,0,0,"New York-New Jersey-Long Island, NY-NJ"
201805001NC04102,"Guilford, NC",NC04102,North Carolina,Greensboro,Municipal police,No,2018,May,Murder and non-negligent manslaughter,Multiple victims/unknown offender(s),36.0,Male,Black,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,Other gun,Relationship not determined,Circumstances undetermined,,1,0,"Greensboro-High Point, NC"
201007004NV00201,"Clark, NV",NV00201,Nevada,Las Vegas Metro Police Department,Municipal police,Yes,2010,July,Murder and non-negligent manslaughter,Single victim/single offender,2.0,Male,White,Unknown or not reported,28.0,Male,White,Unknown or not reported,"Blunt object - hammer, club, etc",Acquaintance,Other,,0,0,"Las Vegas-Paradise, NV"
201403001NC06500,"New Hanover, NC",NC06500,North Carolina,New Hanover County,Sheriff,Yes,2014,March,Murder and non-negligent manslaughter,Single victim/single offender,19.0,Male,Black,Unknown or not reported,20.0,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Friend,Other arguments,,0,0,"Wilmington, NC"
201305682FL04800,"Orange, FL",FL04800,Florida,Orange County,Sheriff,Yes,2013,May,Murder and non-negligent manslaughter,Single victim/single offender,35.0,Male,White,Unknown or not reported,44.0,Male,White,Unknown or not reported,Shotgun,Relationship not determined,Other - not specified,,0,0,"Orlando-Kissimmee, FL"
201205010TNMPD00,"Shelby, TN",TNMPD00,Tennessee,Memphis,Municipal police,Yes,2012,May,Murder and non-negligent manslaughter,Single victim/single offender,32.0,Male,White,Unknown or not reported,20.0,Male,Black,Unknown or not reported,Knife or cutting instrument,Acquaintance,Felon killed by private citizen,Felon attacked a civilian,0,0,"Memphis, TN-MS-AR"
201412007LA02600,"Jefferson, LA",LA02600,Louisiana,Jefferson County,Sheriff,Yes,2014,December,Murder and non-negligent manslaughter,Single victim/single offender,44.0,Male,White,Not of Hispanic origin,42.0,Male,White,Not of Hispanic origin,Shotgun,Acquaintance,Felon killed by private citizen,Felon killed in commission of a crime,0,0,"New Orleans-Metairie-Kenner, LA"
201710001LA03106,"Lincoln, LA",LA03106,Louisiana,Grambling State University,Special police,Yes,2017,October,Murder and non-negligent manslaughter,Multiple victims/single offender,23.0,Male,Black,Not of Hispanic origin,19.0,Male,Black,Not of Hispanic origin,"Firearm, type not stated",Stranger,Other arguments,,1,0,Rural Louisiana
201505002TX15512,"McLennan, TX",TX15512,Texas,Waco,Municipal police,No,2015,May,Murder and non-negligent manslaughter,Multiple victims/unknown offender(s),31.0,Male,White,Not of Hispanic origin,,Unknown,Unknown,Unknown or not reported,Other gun,Relationship not determined,Circumstances undetermined,,8,0,"Waco, TX"
201607001IN01901,"Dubois, IN",IN01901,Indiana,Huntingburg,Municipal police,Yes,2016,July,Manslaughter by negligence,Single victim/single offender,16.0,Male,White,Not of Hispanic origin,15.0,Male,White,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Friend,Children playing with gun,,0,0,Rural Indiana
201711004KY05680,"Jefferson, KY",KY05680,Kentucky,Louisville Metro,Municipal police,Yes,2017,November,Murder and non-negligent manslaughter,Single victim/single offender,43.0,Male,Black,Not of Hispanic origin,14.0,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Stranger,Other arguments,,0,0,"Louisville, KY-IN"
201609001KYKSP16,"Henderson, KY",KYKSP16,Kentucky,State Police Post 16,Primary state LE,Yes,2016,September,Murder and non-negligent manslaughter,Single victim/multiple offenders,28.0,Male,White,Unknown or not reported,40.0,Male,White,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Felon killed by police,Felon attacked a civilian,0,1,"Evansville, IN-KY"
201701004PA02304,"Delaware, PA",PA02304,Pennsylvania,Chester,Municipal police,No,2017,January,Murder and non-negligent manslaughter,Single victim/unknown offender(s),18.0,Male,Black,Not of Hispanic origin,,Unknown,Unknown,Unknown or not reported,Shotgun,Relationship not determined,Other - not specified,,0,0,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
201510001PA00213,"Allegheny, PA",PA00213,Pennsylvania,Mckeesport,Municipal police,No,2015,October,Murder and non-negligent manslaughter,Single victim/unknown offender(s),17.0,Male,Black,Not of Hispanic origin,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Circumstances undetermined,,0,0,"Pittsburgh, PA"
201606002NM00101,"Bernalillo, NM",NM00101,New Mexico,Albuquerque,Municipal police,Yes,2016,June,Murder and non-negligent manslaughter,Single victim/single offender,0.0,Male,White,Not of Hispanic origin,27.0,Female,White,Not of Hispanic origin,"Blunt object - hammer, club, etc",Acquaintance,Other,,0,0,"Albuquerque, NM"
201304719FL04801,"Orange, FL",FL04801,Florida,Apopka,Municipal police,Yes,2013,April,Murder and non-negligent manslaughter,Single victim/single offender,1.0,Female,Black,Unknown or not reported,23.0,Male,Black,Unknown or not reported,"Personal weapons, includes beating",Daughter,All other manslaughter by negligence,,0,0,"Orlando-Kissimmee, FL"
201011022ILCPD00,"Cook, IL",ILCPD00,Illinois,Chicago,Municipal police,Yes,2010,November,Murder and non-negligent manslaughter,Multiple victims/single offender,46.0,Male,White,Unknown or not reported,19.0,Male,Black,Unknown or not reported,"Handgun - pistol, revolver, etc",Stranger,Other arguments,,1,0,"Chicago-Naperville-Joliet, IL-IN-WI"
201001002CA03801,"San Francisco, CA",CA03801,California,San Francisco,Municipal police,No,2010,January,Murder and non-negligent manslaughter,Single victim/unknown offender(s),26.0,Male,Black,Not of Hispanic origin,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Juvenile gang killings,,0,0,"San Francisco-Oakland-Fremont, CA"
201506003MDBPD00,"Baltimore city, MD",MDBPD00,Maryland,Baltimore,Municipal police,No,2015,June,Murder and non-negligent manslaughter,Single victim/unknown offender(s),53.0,Male,Black,Not of Hispanic origin,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Circumstances undetermined,,0,0,"Baltimore-Towson, MD"
201307002CA03711,"San Diego, CA",CA03711,California,San Diego,Municipal police,No,2013,July,Murder and non-negligent manslaughter,Single victim/unknown offender(s),87.0,Female,White,Not of Hispanic origin,,Unknown,Unknown,Unknown or not reported,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,0,0,"San Diego-Carlsbad-San Marcos, CA"
201606007GAAPD00,"Fulton, GA",GAAPD00,Georgia,Atlanta,Municipal police,No,2016,June,Murder and non-negligent manslaughter,Single victim/unknown offender(s),20.0,Male,Black,Not of Hispanic origin,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Other,,0,0,"Atlanta-Sandy Springs-Marietta, GA"
201311151FL01300,"Miami-Dade, FL",FL01300,Florida,Miami-Dade,County police,No,2013,November,Murder and non-negligent manslaughter,Single victim/unknown offender(s),40.0,Male,White,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,"Firearm, type not stated",Relationship not determined,Other - not specified,,0,0,"Miami-Fort Lauderdale, FL"
201206001TN04700,"Knox, TN",TN04700,Tennessee,Knox County,Sheriff,Yes,2012,June,Murder and non-negligent manslaughter,Single victim/single offender,28.0,Female,White,Unknown or not reported,31.0,Male,White,Unknown or not reported,"Handgun - pistol, revolver, etc",Wife,Other arguments,,0,0,"Knoxville, TN"
201605001CA00701,"Contra Costa, CA",CA00701,California,Antioch,Municipal police,Yes,2016,May,Murder and non-negligent manslaughter,Single victim/single offender,27.0,Male,White,Hispanic origin,34.0,Male,White,Not of Hispanic origin,"Handgun - pistol, revolver, etc",Boyfriend,Other arguments,,0,0,"San Francisco-Oakland-Fremont, CA"
201811011MDBPD00,"Baltimore city, MD",MDBPD00,Maryland,Baltimore,Municipal police,No,2018,November,Murder and non-negligent manslaughter,Single victim/unknown offender(s),28.0,Male,Black,Not of Hispanic origin,,Unknown,Unknown,Unknown or not reported,"Handgun - pistol, revolver, etc",Relationship not determined,Circumstances undetermined,,0,0,"Baltimore-Towson, MD"
201411016CA01942,"Los Angeles, CA",CA01942,California,Los Angeles,Municipal police,No,2014,November,Murder and non-negligent manslaughter,Single victim/unknown offender(s),50.0,Male,Black,Not of Hispanic origin,,Unknown,Unknown,Unknown or not reported,Rifle,Relationship not determined,Circumstances undetermined,,0,0,"Los Angeles-Long Beach, CA"
201705014LANPD00,"Orleans, LA",LANPD00,Louisiana,New Orleans,Municipal police,No,2017,May,Murder and non-negligent manslaughter,Single victim/unknown offender(s),20.0,Male,Black,Unknown or not reported,,Unknown,Unknown,Unknown or not reported,"Firearm, type not stated",Relationship not determined,Circumstances undetermined,,0,0,"New Orleans-Metairie-Kenner, LA"
